name,cagr,vol,sharpe,sharpe_conventional,max_dd,mean_dd,dd_duration_days,turnover,cvar_95_monthly,vol_consistency,hit_rate_monthly,n_obs,start,end
ts_momentum_sleeves,0.12228081761806942,0.1521823487502911,0.4158226764266123,0.4644789942521666,0.3790928528866371,0.1005502340351876,1280,1.5764061840679524,0.11066939259396912,0.1522821927344244,0.6639004149377593,4957,2006-05-31,2026-05-29
ts_momentum_sleeves [mandate: fully invested],0.16127280729151794,0.19106043844043613,0.5352906235875025,0.5867244514237124,0.618936368725735,0.09412735373172364,1064,1.7115505728694556,0.1403118079256621,0.27851948828914996,0.6348547717842323,4957,2006-05-31,2026-05-29
Equal-weight sleeves,0.15834363377382288,0.20044755476966256,0.495609376887361,0.5557366712844136,0.6397006779189794,0.11215765905505087,1142,0.049919578802178566,0.14709838604111067,0.2756401378624187,0.6141078838174274,4957,2006-05-31,2026-05-29
Vol-target overlay,0.15085744506507415,0.16804690889807947,0.5466182009033591,0.5879016697653151,0.4159746177993875,0.09085981087742591,1209,0.33046017963804136,0.11681923857639599,0.1282455045365385,0.6224066390041494,4957,2006-05-31,2026-05-29
Inverse vol,0.15664960797764604,0.19242671291889918,0.5074641687766426,0.5628856602707121,0.6233149105331447,0.10174459815893033,1016,0.2852468521237267,0.14247239885186255,0.27799625706559916,0.6265560165975104,4957,2006-05-31,2026-05-29
NIFTY 500,0.11360667027441029,0.20293918588261114,0.2690792514076702,0.353695487799143,0.6425598807836296,0.11393440326857578,2318,0.0,0.14596890207328397,0.33555074235708654,0.6058091286307054,4957,2006-05-31,2026-05-29
NIFTY500 MULTIFACTOR MQVLV 50,0.1611917307917461,0.17199090737794642,0.5941696935835482,0.6310820740499291,0.5481937492498958,0.08334629594482038,1017,0.0,0.12563111147178804,0.22606936897044383,0.5975103734439834,4957,2006-05-31,2026-05-29
