name,cagr,vol,sharpe,sharpe_conventional,max_dd,mean_dd,dd_duration_days,turnover,cvar_95_monthly,vol_consistency,hit_rate_monthly,n_obs,start,end
dynamic_factor_sleeve_allocation,0.12063469466678334,0.17473437974215586,0.3527144418020257,0.41736938793414896,0.532506593886118,0.1640442066891701,2436,1.6030761966968878,0.13428077588560836,0.14201951293067266,0.6322314049586777,4979,2006-04-29,2026-05-29
dynamic_factor_sleeve_allocation [mandate: fully invested],0.15240245908198258,0.21242366600586005,0.43968313599766407,0.5117234898279278,0.6925388759513105,0.16133597241056258,2344,1.4654708528089038,0.16791384727075515,0.28773269515142114,0.5991735537190083,4979,2006-04-29,2026-05-29
Equal-weight sleeves,0.14955284083886888,0.2022682053473099,0.44767038512544705,0.5142558675989243,0.6397006779189793,0.11493362798192548,1142,0.04969900625073291,0.1551359525964259,0.2756401378624187,0.6115702479338843,4979,2006-04-29,2026-05-29
Vol-target overlay,0.1304982748714918,0.16932513400908783,0.4222345361631248,0.47754448270286626,0.5404068996909528,0.11026572555271028,1236,0.7710934251188273,0.12857997786200262,0.13557877010118363,0.6157024793388429,4979,2006-04-29,2026-05-29
Inverse vol,0.1430626764579026,0.1939640880301585,0.4333756926819721,0.49803786111261283,0.6235919090418112,0.10611474100871825,1016,0.907323847886199,0.15098624497096694,0.27632429603531516,0.6198347107438017,4979,2006-04-29,2026-05-29
Equal risk contribution,0.14239653975918798,0.1938242021985868,0.43025165774364976,0.49519472844401263,0.6226156791810129,0.10635794645770258,1088,0.9708415056489597,0.1508076831005192,0.27670649811958925,0.6157024793388429,4979,2006-04-29,2026-05-29
Min variance,0.12480042912551981,0.16993316911681167,0.3871938245786813,0.4460370981950303,0.5471396377773264,0.08659423591854946,1147,5.530344132082557,0.12868328002854632,0.2375053221788822,0.6074380165289256,4979,2006-04-29,2026-05-29
NIFTY 500,0.10474755776348088,0.2044839502649545,0.22370558790459316,0.31286170660917456,0.6425598807836296,0.11651581683070204,2318,0.0,0.15330417343069092,0.3355507423570865,0.6033057851239669,4979,2006-04-29,2026-05-29
NIFTY500 MULTIFACTOR MQVLV 50,0.15119918947600808,0.1741332745563803,0.5294555808387532,0.5749818760703664,0.5481937492498958,0.08652765514024188,1017,0.0,0.13397557633183096,0.2260693689704441,0.5950413223140496,4979,2006-04-29,2026-05-29
